"doc_id","text"
"hero_001","The Dragon Knight is a tanky melee hero who uses fire breath as his ultimate ability. His mana pool is small but his damage output scales with strength. The hero excels at pushing lanes and controlling team fights."
"hero_002","Crystal Maiden is a ranged support hero with strong mana regeneration. Her ultimate ability deals magical damage in a wide area. The hero is fragile but provides crucial vision and slows."
"hero_003","Invoker is a complex intelligence hero with ten different abilities combined from three orbs. He requires high skill to play but rewards mastery with massive damage and utility."
"hero_004","Phantom Assassin is an agility carry with critical strike passive ability. Her damage scales with attack speed and items. The hero deals physical damage and can solo kill heroes."
"hero_005","Pudge is a strength hero famous for his hook ability that pulls enemies. His ultimate ability deals high magical damage to a single target. The hero builds tanky and roams the map."
"hero_006","Anti Mage is an agility carry hero who counters mana-dependent enemies. His passive burns enemy mana and deals damage based on mana burned. His ultimate teleports him short distances."
"hero_007","Axe is a melee strength hero who excels at initiation. His ultimate ability culls low health enemies instantly. The hero builds tanky armor and uses his call ability to taunt nearby enemies."
"hero_008","Lina is an intelligence hero who deals fire damage. Her ultimate ability is a single target magical nuke. The hero combines stuns and damage to burst down targets quickly in team fights."
"hero_009","Juggernaut is an agility carry hero with strong solo kill potential. His ultimate spins blades dealing physical damage. The hero is mobile and can dodge spells with omnislash."
"hero_010","Witch Doctor is an intelligence support hero with paralyzing cask stun. His ultimate ability targets a single enemy dealing massive damage over time."
"patch_011","Patch update dragon_knight ability has been buffed. The mana cost value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_012","Patch update crystal_maiden ability has been balanced. The duration value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_013","Patch update lina ability has been balanced. The duration value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_014","Patch update juggernaut ability has been nerfed. The attack speed value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_015","Patch update lina ability has been tweaked. The cooldown value was changed by 10 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_016","Patch update crystal_maiden ability has been balanced. The range value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_017","Patch update crystal_maiden ability has been tweaked. The movement speed value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_018","Patch update juggernaut ability has been adjusted. The mana cost value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
